version 1
button_label_browse	Examinar
setting_battlenet_paths_description	""Define the absolute paths to folders, which contain Blizzard Battle.net games in their own subfolders:\nIf e.g. Hearthstone is installed in "D:\\Blizzard games\\Hearthstone", then the path that you give should be "D:\\Blizzard games".\nEdit a path and input an empty string to remove that path.""
setting_battlenet_paths_title	Rutas
setting_battlenet_starting_bangs_description	Estos bangs de Rainmeter son ejecutados al empezar la ejecución de un juego de Blizzard Battle.net.
setting_battlenet_stopping_bangs_description	Estos bangs de Rainmeter son ejecutados al finalizar la ejecución de un juego de Blizzard Battle.net.
setting_gog_galaxy_client_path_description	La carpeta que contiene el ejecutable del cliente de GOG Galaxy.
setting_gog_galaxy_enabled_description	Si está activada serán añadidos los juegos instalados con el cliente de GOG Galaxy.
setting_gog_galaxy_indirect_launch_description	If enabled, then games will be launched via the GOG Galaxy client.\nLaunching via the client allows the client's overlay to be used and for the client to track the amount of time played.
setting_gog_galaxy_indirect_launch_title	Iniciar a través del cliente
setting_gog_galaxy_program_data_path_description	La ruta en la que el cliente de GOG Galaxy guarda algunos de sus datos.
setting_gog_galaxy_program_data_path_title	Ruta de ProgramData
setting_gog_galaxy_starting_bangs_description	Estos bangs de Rainmeter son ejecutados al empezar la ejecución de un juego de GOG Galaxy.
setting_gog_galaxy_stopping_bangs_description	Estos bangs de Rainmeter son ejecutados al finalizar la ejecución de un juego de GOG Galaxy.
setting_localization_language_description	Selecciona un idioma.
setting_localization_language_title	Idioma
setting_logging_description	Si está activada se imprimirán un montón de mensajes en el registro del Rainmeter. Útil para solucionar problemas.
setting_logging_title	Registro
setting_number_of_backups_description	The number of daily backups to keep of the list of games.
setting_number_of_backups_title	Cantidad de copias de seguridad
setting_shortcuts_enabled_description	If enabled, then Windows shortcuts placed in the designated folder will be included.
setting_shortcuts_open_folder_description	Shortcuts and their banners should be placed in this folder. The banners should be named after their corresponding shortcut.
setting_shortcuts_open_folder_title	Carpeta
setting_shortcuts_starting_bangs_description	Estos bangs de Rainmeter son ejecutados al empezar la ejecución de un juego de acceso directo de Windows.
setting_shortcuts_stopping_bangs_description	Estos bangs de Rainmeter son ejecutados al finalizar la ejecución de un juego de acceso directo de Windows.
setting_shortcuts_title	Accesos directos de Windows
setting_skin_animation_description	The animation that is played when the mouse leaves the skin. The animation is played in reverse when the mouse enters the skin\'s enabler edge.
setting_skin_animation_title	Skin animation
setting_skin_hide_skin_description	If enabled, then the skin is hidden while playing a game.
setting_skin_hide_skin_title	Ocultar piel mientras se juega
setting_skin_revealing_delay_description	The duration (in milliseconds) before the skin animation is played in order to reveal the skin.
setting_skin_revealing_delay_title	Revealing delay
setting_skin_scroll_step_description	The number of games that are scrolled at each scroll event.
setting_skin_scroll_step_title	Scroll step
setting_skin_title	Piel
setting_slots_center_on_monitor_description	If enabled, then some windows (e.g. sort, filter) are centered on the monitor that the main window of this skin is on.
setting_slots_center_on_monitor_title	Center windows on the current monitor
setting_slots_click_animation_description	The animation that plays when a slot is clicked.
setting_slots_click_animation_title	Slot click animation
setting_slots_columns_description	La cantidad de columnas de ranuras.
setting_slots_columns_title	Cantidad de columnas
setting_slots_double_click_to_launch_description	Si está activada, hay que hacer doble clic para ejecutar un juego.
setting_slots_double_click_to_launch_title	Doble clic para ejecutar.
setting_slots_height_description	La altura de cada ranura en píxeles.
setting_slots_height_title	Altura de la ranura
setting_slots_horizontal_orientation_description	If enabled, then slots are placed from left to right. If disabled, then slots are placed from the top to the bottom.
setting_slots_horizontal_orientation_title	Orientación horizontal
setting_slots_hover_animation_description	The animation that plays when the mouse is on a slot.
setting_slots_hover_animation_title	Slot hover animation
setting_slots_overlay_enabled_description	If enabled, then an overlay with contextual information is displayed when the mouse is on a slot.
setting_slots_overlay_enabled_title	Superposición en ranuras
setting_slots_rows_description	La cantidad de filas de ranuras.
setting_slots_rows_title	Cantidad de filas
setting_slots_toolbar_at_top_description	If enabled, then the toolbar is at the top of the skin.
setting_slots_toolbar_at_top_title	Toolbar at the top
setting_slots_width_description	La anchura de cada ranura en píxeles.
setting_slots_width_title	Anchura de la ranura
setting_steam_account_description	Choose the Steam account whose games to get.
setting_steam_account_title	Cuenta
setting_steam_client_path_description	La carpeta que contiene el ejecutable del cliente de Steam.
setting_steam_community_profile_description	If enabled, then the Steam community profile will be downloaded and parsed to get:\n- All games associated with the chosen account even if not installed at the moment.\n- The total hours played of each game associated with the chosen account.\n\nRequires the Steam community profile to be public.
setting_steam_community_profile_title	Análisis del perfil de la comunidad
setting_steam_enabled_description	Si está activada serán añadidos los juegos instalados con el cliente de Steam, incluyendo los juegos que no son de Steam que hayan sido añadidos manualmente a la biblioteca.
setting_steam_starting_bangs_description	Estos bangs de Rainmeter son ejecutados al empezar la ejecución de un juego de Steam.
setting_steam_stopping_bangs_description	Estos bangs de Rainmeter son ejecutados al finalizar la ejecución de un juego de Steam.
sort_alphabetically	Alfabéticamente
sort_last_played	Jugado más recientemente
sort_window_title	Ordenar
status_initializing	Inicializando
